country,increased,total,cure,dead
中国,136,94278,87893,4753
美国,208790,14983425,8787738,287825
印度,36011,9644222,9100792,140182
巴西,43209,6577177,5864838,176628
俄罗斯,28701,2439163,1920744,42675
法国,12923,2334626,174992,55073
英国,15578,1710384,3660,61111
意大利,21052,1709991,896308,59514
西班牙,5554,1699145,196958,46252
阿根廷,5201,1459832,1288785,39632
哥伦比亚,9642,1362249,1249702,37633
德国,23787,1183640,852628,18856
墨西哥,11625,1168395,859643,109456
波兰,9176,1063449,706720,20089
伊朗,11561,1040547,730798,50310
秘鲁,1828,972688,905696,36231
乌克兰,11928,834913,435575,14054
南非,4645,810449,744298,22067
土耳其,31896,797893,427242,14705
比利时,2503,589942,33687,17254
印度尼西亚,6089,575796,474771,17740
荷兰,6934,566495,7266,9768
伊拉克,1680,564200,493567,12432
智利,1533,558668,534789,15628
捷克,3318,545724,476685,8838
罗马尼亚,5231,513576,405612,12320
孟加拉,1756,477545,395960,6838
菲律宾,1765,439834,408634,8554
巴基斯坦,3308,416499,355012,8361
加拿大,6354,412543,329676,12607
摩洛哥,4118,376738,327693,6184
沙特阿拉伯,187,358713,348879,5965
瑞士,0,344497,260600,5344
以色列,2127,344228,327972,2916
葡萄牙,6087,318640,240203,4876
奥地利,2741,303430,252765,3840
瑞典,0,278912,4917,7067
匈牙利,6697,250278,71682,5868
尼泊尔,1096,240981,225805,1594
约旦,6276,237513,182463,3010
塞尔维亚,6903,213843,0,1949
厄瓜多尔,909,197391,169804,13756
哈萨克斯坦,966,179344,151134,2488
阿联酋,1153,176429,159132,592
巴拿马,2300,175907,151247,3173
日本,2024,162894,135121,2259
格鲁吉亚,4321,162475,133511,1504
保加利亚,2037,160844,60673,4729
克罗地亚,2899,150353,124439,2174
多米尼加,975,147655,116329,2345
白俄罗斯,1878,147157,124774,1207
阿塞拜疆,4356,146679,88497,1632
玻利维亚,167,145492,124596,8992
科威特,452,144369,140035,891
哥斯达黎加,1180,143685,95789,1773
亚美尼亚,978,141937,116796,2326
卡塔尔,125,139908,137276,239
黎巴嫩,1581,135876,88096,1090
危地马拉,1299,125352,113870,4239
阿曼,557,124886,116354,1444
埃及,431,118014,103324,6750
斯洛伐克,1269,116731,82666,996
摩尔多瓦,1728,115557,99606,2403
希腊,1383,114568,23074,2902
埃塞俄比亚,649,112740,79579,1745
洪都拉斯,200,109960,49096,2941
委内瑞拉,300,104177,98879,916
突尼斯,1091,102991,76441,3526
缅甸,1108,99155,77636,2110
巴勒斯坦,1940,98038,72773,828
波黑,739,94507,58625,2952
丹麦,1750,91131,71395,885
肯尼亚,735,87984,68532,1518
巴林,132,87732,85876,341
阿尔及利亚,772,87502,56617,2501
巴拉圭,714,87213,61283,1833
利比亚,1051,86580,56702,1231
斯洛文尼亚,1030,85805,63580,1744
吉尔吉斯斯坦,199,74973,66993,1295
立陶宛,2219,74649,30390,626
爱尔兰,457,73948,23364,2099
乌兹别克斯坦,153,73904,71173,611
马来西亚,1335,72694,61273,382
尼日利亚,310,68937,64650,1180
北马其顿,981,67311,42872,1901
新加坡,5,58260,58158,29
加纳,102,52198,51019,325
阿富汗,234,47306,37685,1874
阿尔巴尼亚,1647,42148,21286,889
萨尔瓦多,413,40131,36525,1159
挪威,112,38073,17998,354
黑山,412,37879,26809,530
韩国,631,37546,29128,545
卢森堡,588,37017,28029,345
澳大利亚,9,27965,25639,908
芬兰,413,27631,18100,415
斯里兰卡,362,27590,20460,137
喀麦隆,265,24752,23344,443
乌干达,290,22188,9117,206
科特迪瓦,29,21441,21090,132
拉脱维亚,526,21313,1866,262
苏丹,661,19196,10942,1290
赞比亚,59,17916,17173,364
马达加斯加,0,17513,16927,255
塞内加尔,80,16477,15776,338
莫桑比克,95,16133,14343,133
安哥拉,43,15536,8335,354
爱沙尼亚,478,14978,8959,131
纳米比亚,351,14950,13908,152
刚果（金）,132,13413,11857,342
几内亚,47,13233,12355,76
马尔代夫,16,13159,12264,47
塔吉克斯坦,39,12428,11833,87
塞浦路斯,369,12181,2057,57
博茨瓦纳,0,11531,8978,34
牙买加,152,11063,6866,261
佛得角,40,11036,10541,109
津巴布韦,70,10617,8844,291
马耳他,97,10520,8396,151
海地,23,9370,8146,233
毛里塔尼亚,178,9359,7835,184
加蓬,15,9254,9106,60
古巴,104,8714,7909,136
叙利亚,87,8320,3879,442
伯利兹,218,7601,3752,172
巴哈马,5,7570,5995,163
安道尔,50,7005,6171,78
乌拉圭,234,6965,4946,81
特立尼达和多巴哥,16,6751,5907,122
斯威士兰,15,6495,6078,122
卢旺达,41,6084,5696,51
马拉维,2,6049,5476,185
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,11,5701,5593,61
圭亚那,36,5637,4733,151
冰岛,6,5482,5269,27
苏里南,2,5324,5207,117
赤道几内亚,0,5159,5023,85
马里,124,5062,3334,163
中非共和国,4,4922,1924,63
索马里,0,4525,3480,121
泰国,14,4086,3853,60
冈比亚,2,3770,3615,123
布基纳法索,65,3156,2697,68
多哥,34,3085,2624,65
贝宁,0,3055,2907,44
几内亚比绍,0,2441,2327,44
塞拉利昂,4,2420,1843,74
也门,37,2304,1547,633
莱索托,5,2150,1278,44
新西兰,9,2078,1997,25
尼日尔,63,1789,1237,77
圣马力诺,75,1789,1412,48
乍得,3,1722,1561,102
利比里亚,13,1676,1358,83
列支敦士登公国,18,1396,1183,17
越南,1,1366,1220,35
蒙古,7,849,384,0
钻石号邮轮,0,712,699,13
布隆迪,2,694,575,1
巴布亚新几内亚,0,671,597,7
摩纳哥,7,637,572,3
厄立特里亚,38,632,508,0
科摩罗,1,616,600,7
坦桑尼亚,0,509,183,21
毛里求斯,0,508,465,10
不丹,2,426,387,0
柬埔寨,1,346,306,0
巴巴多斯,1,285,260,7
圣卢西亚,3,265,158,2
塞舌尔,0,184,168,0
文莱,0,151,147,3
安提瓜和巴布达,0,144,133,4
圣文森特和格林纳丁斯,0,87,80,0
多米尼克,0,85,72,0
斐济,0,44,33,2
格林纳达,0,41,39,0
老挝,0,39,26,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,3,25,20,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
