day,country,increased,total,cure,dead
12-01,中国,117,93664,87607,4750
12-01,美国,161568,13919870,8222879,274332
12-01,印度,31118,9462809,8889585,137621
12-01,巴西,21138,6335878,5597802,173120
12-01,俄罗斯,26046,2275936,1763493,39491
12-01,法国,4443,2275016,167913,52819
12-01,西班牙,6659,1664945,196958,45069
12-01,英国,12420,1633733,3570,58545
12-01,意大利,16376,1601554,757507,55576
12-01,阿根廷,5726,1424533,1257227,38730
12-01,哥伦比亚,8430,1316806,1210489,36766
12-01,墨西哥,6472,1113543,823586,105940
12-01,德国,6894,1069912,749219,16694
12-01,波兰,5736,990811,577514,17150
12-01,秘鲁,2162,962530,893061,35923
12-01,伊朗,13321,962070,668151,48246
12-01,南非,2302,790004,731242,21535
12-01,乌克兰,10238,752343,360360,12731
12-01,土耳其,31219,638847,404727,13746
12-01,比利时,746,577345,0,16645
12-01,伊拉克,2114,552549,482674,12258
12-01,智利,1313,551743,526604,15410
12-01,印度尼西亚,4617,538883,450518,16945
12-01,荷兰,26,531930,6947,9453
12-01,捷克,3575,523298,451607,8295
12-01,罗马尼亚,3826,475362,353188,11331
12-01,孟加拉,2525,464932,380711,6644
12-01,菲律宾,1766,431630,398658,8392
12-01,巴基斯坦,2458,400482,343286,8091
12-01,加拿大,7457,381557,304595,12147
12-01,沙特阿拉伯,232,357360,346802,5896
12-01,摩洛哥,2533,356336,305291,5846
12-01,以色列,686,336846,323749,2865
12-01,瑞士,8782,327072,250200,4815
12-01,葡萄牙,3262,298061,212942,4505
12-01,奥地利,2748,282456,221692,3184
12-01,瑞典,0,243129,4917,6681
12-01,尼泊尔,1474,233452,214521,1508
12-01,约旦,8721,219430,155026,2751
12-01,匈牙利,5595,217122,63860,4823
12-01,厄瓜多尔,568,192685,169804,13461
12-01,塞尔维亚,6224,175438,15913,1604
12-01,阿联酋,1107,168860,154899,572
12-01,巴拿马,1077,165806,144462,3079
12-01,日本,17,148962,127289,2076
12-01,保加利亚,2814,145300,50565,4035
12-01,玻利维亚,86,144708,121702,8957
12-01,多米尼加,515,143988,115219,2331
12-01,科威特,209,142635,137071,880
12-01,哥斯达黎加,2545,139638,87526,1726
12-01,卡塔尔,185,138833,136090,237
12-01,白俄罗斯,1639,136647,114341,1158
12-01,格鲁吉亚,3216,135584,113986,1267
12-01,亚美尼亚,356,135124,108442,2164
12-01,哈萨克斯坦,689,132348,116863,1990
12-01,克罗地亚,1830,128442,105199,1786
12-01,黎巴嫩,1000,127944,83034,1018
12-01,阿曼,215,123699,115216,1423
12-01,危地马拉,264,122062,110944,4171
12-01,阿塞拜疆,1959,121176,74902,1392
12-01,埃及,370,115911,102718,6650
12-01,埃塞俄比亚,540,110074,73808,1706
12-01,洪都拉斯,365,108253,48073,2918
12-01,摩尔多瓦,347,107364,95354,2304
12-01,斯洛伐克,196,105929,66041,839
12-01,希腊,1044,105271,23074,2406
12-01,委内瑞拉,354,102394,97326,897
12-01,突尼斯,518,96769,70851,3260
12-01,缅甸,1227,90713,70156,1941
12-01,波黑,527,87901,52769,2681
12-01,巴林,169,86956,85141,341
12-01,巴勒斯坦,2062,85647,64987,732
12-01,肯尼亚,302,83618,55344,1469
12-01,阿尔及利亚,978,83199,53809,2431
12-01,利比亚,379,82809,53818,1183
12-01,巴拉圭,518,82424,58453,1756
12-01,丹麦,1130,81002,64031,837
12-01,斯洛文尼亚,8,75814,54138,1435
12-01,吉尔吉斯斯坦,371,73178,64711,1275
12-01,乌兹别克斯坦,174,73094,70337,610
12-01,爱尔兰,303,72544,23364,2053
12-01,尼日利亚,145,67557,63282,1173
12-01,马来西亚,1212,65697,54759,360
12-01,北马其顿,335,61878,38946,1763
12-01,立陶宛,1132,61325,14211,506
12-01,新加坡,5,58218,58134,29
12-01,加纳,191,51667,50547,323
12-01,阿富汗,283,46498,36788,1774
12-01,萨尔瓦多,0,38405,35078,1114
12-01,阿尔巴尼亚,557,38182,18849,810
12-01,挪威,179,36150,17998,332
12-01,黑山,384,35265,24131,499
12-01,卢森堡,1269,34678,26086,321
12-01,韩国,451,34652,27885,526
12-01,澳大利亚,8,27912,25602,908
12-01,芬兰,283,24912,16800,399
12-01,喀麦隆,328,24445,22177,437
12-01,斯里兰卡,325,23987,17560,118
12-01,科特迪瓦,21,21331,20964,132
12-01,乌干达,314,20459,8989,205
12-01,苏丹,406,17810,10302,1249
12-01,赞比亚,39,17647,16998,357
12-01,马达加斯加,0,17341,16657,251
12-01,拉脱维亚,100,17075,1795,206
12-01,塞内加尔,14,16089,15607,333
12-01,莫桑比克,88,15701,13729,131
12-01,安哥拉,36,15139,7851,348
12-01,纳米比亚,35,14380,13535,151
12-01,几内亚,22,13119,12045,76
12-01,马尔代夫,17,13011,11939,46
12-01,刚果（金）,70,12772,11585,333
12-01,爱沙尼亚,256,12308,7078,118
12-01,塔吉克斯坦,39,12194,11599,86
12-01,牙买加,94,10763,6219,257
12-01,佛得角,14,10761,10329,105
12-01,博茨瓦纳,484,10742,7912,34
12-01,塞浦路斯,182,10565,2057,49
12-01,津巴布韦,84,10034,8489,277
12-01,马耳他,121,9873,7665,137
12-01,海地,22,9294,8023,233
12-01,加蓬,23,9214,9066,60
12-01,毛里塔尼亚,54,8601,7732,177
12-01,古巴,51,8284,7631,135
12-01,叙利亚,90,7887,3560,417
12-01,巴哈马,24,7541,5889,163
12-01,安道尔,33,6745,5873,76
12-01,特立尼达和多巴哥,9,6669,5771,120
12-01,斯威士兰,9,6419,6006,122
12-01,马拉维,3,6028,5455,185
12-01,卢旺达,15,5934,5516,49
12-01,乌拉圭,141,5857,4357,77
12-01,伯利兹,111,5854,3151,148
12-01,尼加拉瓜,0,5784,4225,160
12-01,刚果（布）,0,5774,4988,94
12-01,吉布提,2,5679,5584,61
12-01,圭亚那,30,5406,4392,151
12-01,冰岛,11,5392,5179,26
12-01,苏里南,0,5312,5194,117
12-01,赤道几内亚,0,5153,5009,85
12-01,中非共和国,0,4913,1924,63
12-01,马里,22,4710,3206,156
12-01,索马里,0,4451,3417,113
12-01,泰国,10,4008,3811,60
12-01,冈比亚,8,3742,3601,123
12-01,贝宁,41,3015,2839,43
12-01,多哥,12,2974,2478,64
12-01,布基纳法索,30,2886,2593,68
12-01,几内亚比绍,19,2441,2327,44
12-01,塞拉利昂,1,2412,1836,74
12-01,也门,14,2191,1510,619
12-01,莱索托,0,2109,1278,44
12-01,新西兰,3,2059,1962,25
12-01,乍得,6,1688,1525,101
12-01,圣马力诺,26,1612,1299,46
12-01,利比里亚,0,1595,1343,83
12-01,尼日尔,32,1548,1210,72
12-01,越南,1,1347,1179,35
12-01,列支敦士登公国,17,1270,1088,16
12-01,蒙古,10,801,358,0
12-01,钻石号邮轮,0,712,659,13
12-01,布隆迪,7,688,575,1
12-01,巴布亚新几内亚,10,656,597,7
12-01,科摩罗,0,611,586,7
12-01,摩纳哥,1,609,556,3
12-01,厄立特里亚,0,577,498,0
12-01,坦桑尼亚,0,509,183,21
12-01,毛里求斯,3,504,456,10
12-01,不丹,14,410,381,0
12-01,柬埔寨,3,326,304,0
12-01,巴巴多斯,1,276,250,7
12-01,圣卢西亚,2,259,131,2
12-01,塞舌尔,10,183,162,0
12-01,文莱,0,150,145,3
12-01,安提瓜和巴布达,0,141,130,4
12-01,圣文森特和格林纳丁斯,0,85,79,0
12-01,多米尼克,0,85,63,0
12-01,斐济,4,42,33,2
12-01,格林纳达,0,41,30,0
12-01,老挝,0,39,26,0
12-01,马提尼克岛,5,37,0,1
12-01,东帝汶,0,30,30,0
12-01,梵蒂冈,0,27,15,0
12-01,圣基茨和尼维斯,0,22,19,0
12-01,所罗门群岛,0,17,5,0
12-01,马绍尔群岛,0,4,1,0
12-01,瓦努阿图,0,1,0,0
12-02,中国,92,93756,87621,4750
12-02,美国,182172,14108490,8333018,276976
12-02,印度,31118,9462809,8889585,137621
12-02,巴西,50909,6386787,5712305,173817
12-02,俄罗斯,26126,2302062,1787962,40050
12-02,法国,413,2275429,167915,52821
12-02,西班牙,8257,1673202,196958,45511
12-02,英国,13486,1647230,3589,59148
12-02,意大利,19347,1620901,784595,56361
12-02,阿根廷,8037,1432570,1263251,38928
12-02,哥伦比亚,7986,1324792,1217647,36934
12-02,墨西哥,8819,1122362,829817,106765
12-02,德国,9129,1085765,767591,16897
12-02,波兰,9113,999924,597589,17599
12-02,伊朗,13881,975951,677963,48628
12-02,秘鲁,1075,963605,893061,35966
12-02,南非,2295,792299,732531,21644
12-02,乌克兰,12774,765117,370677,12962
12-02,土耳其,30110,668957,409320,13936
12-02,比利时,746,577345,33687,16645
12-02,伊拉克,2218,554767,484570,12306
12-02,智利,1121,552864,528034,15430
12-02,印度尼西亚,5092,543975,454879,17081
12-02,荷兰,151,536129,7017,9518
12-02,捷克,5176,528474,455177,8407
12-02,罗马尼亚,4272,479634,360934,11530
12-02,孟加拉,2293,467225,383224,6675
12-02,菲律宾,1295,432925,398782,8418
12-02,巴基斯坦,2458,400482,343286,8091
12-02,加拿大,5141,387052,309557,12229
12-02,摩洛哥,3508,359844,310193,5915
12-02,沙特阿拉伯,263,357623,347176,5907
12-02,以色列,705,338127,324449,2877
12-02,瑞士,3802,330874,250200,4940
12-02,葡萄牙,2401,300462,220877,4577
12-02,奥地利,3033,285489,227497,3325
12-02,瑞典,17629,260758,4917,6798
12-02,尼泊尔,0,233452,216594,1529
12-02,约旦,4187,223617,162959,2802
12-02,匈牙利,3951,221073,64802,4977
12-02,厄瓜多尔,988,193673,169804,13501
12-02,塞尔维亚,7999,183437,15913,1652
12-02,阿联酋,1289,170149,155667,576
12-02,巴拿马,1505,167311,145518,3098
12-02,日本,2031,150976,125304,2109
12-02,保加利亚,3475,148775,53000,4188
12-02,玻利维亚,102,144810,122495,8963
12-02,多米尼加,314,144302,115530,2333
12-02,科威特,357,142992,137625,881
12-02,哥斯达黎加,534,140172,87721,1731
12-02,格鲁吉亚,3759,139343,117560,1303
12-02,卡塔尔,353,139001,136306,238
12-02,白俄罗斯,3211,138219,115587,1166
12-02,亚美尼亚,843,135967,110365,2193
12-02,哈萨克斯坦,689,132348,116863,1990
12-02,克罗地亚,2900,131342,108231,1861
12-02,黎巴嫩,1511,129455,83034,1033
12-02,阿塞拜疆,6385,125602,76897,1433
12-02,阿曼,209,123908,115441,1430
12-02,危地马拉,712,122774,111574,4178
12-02,埃及,392,116303,102816,6666
12-02,埃塞俄比亚,480,110554,74917,1709
12-02,摩尔多瓦,1499,108863,95918,2323
12-02,洪都拉斯,365,108253,48073,2918
12-02,希腊,2199,107470,23074,2517
12-02,斯洛伐克,1254,107183,68859,868
12-02,委内瑞拉,354,102394,97326,897
12-02,突尼斯,518,96769,70851,3260
12-02,缅甸,1476,92189,71343,1972
12-02,波黑,1184,89085,53724,2727
12-02,巴勒斯坦,2357,88004,65938,747
12-02,巴林,181,87137,85357,341
12-02,肯尼亚,551,84169,55610,1474
12-02,阿尔及利亚,953,84152,54405,2447
12-02,巴拉圭,1055,83479,58949,1771
12-02,利比亚,608,83417,54209,1196
12-02,丹麦,1468,82470,65275,846
12-02,斯洛文尼亚,29,77135,55476,1490
12-02,吉尔吉斯斯坦,371,73178,64711,1275
12-02,乌兹别克斯坦,225,73145,70337,610
12-02,爱尔兰,254,72798,23364,2069
12-02,尼日利亚,281,67838,63430,1176
12-02,马来西亚,1472,67169,56311,363
12-02,北马其顿,1067,62945,40188,1792
12-02,立陶宛,1190,62515,15077,519
12-02,新加坡,10,58228,58139,29
12-02,加纳,0,51667,50547,323
12-02,阿富汗,219,46717,36907,1797
12-02,萨尔瓦多,725,39130,35839,1120
12-02,阿尔巴尼亚,832,39014,19384,822
12-02,挪威,273,36591,17998,334
12-02,黑山,584,35849,24637,504
12-02,韩国,511,35163,28065,526
12-02,卢森堡,451,35129,26156,330
12-02,澳大利亚,9,27921,25605,908
12-02,芬兰,550,25462,16800,399
12-02,斯里兰卡,545,24532,17817,122
12-02,喀麦隆,42,24487,22177,441
12-02,科特迪瓦,3,21334,20981,132
12-02,乌干达,576,21035,9044,205
12-02,苏丹,235,18045,10369,1255
12-02,拉脱维亚,612,17687,1806,210
12-02,赞比亚,18,17665,17059,357
12-02,马达加斯加,0,17341,16657,251
12-02,塞内加尔,18,16107,15627,333
12-02,莫桑比克,69,15770,13778,131
12-02,安哥拉,112,15251,7932,350
12-02,纳米比亚,36,14416,13600,151
12-02,几内亚,22,13119,12045,76
12-02,马尔代夫,38,13049,11968,47
12-02,刚果（金）,87,12859,11663,335
12-02,爱沙尼亚,189,12497,7536,121
12-02,塔吉克斯坦,37,12231,11640,86
12-02,塞浦路斯,318,10883,2057,49
12-02,佛得角,55,10816,10366,106
12-02,牙买加,47,10810,6364,258
12-02,博茨瓦纳,484,10742,7912,34
12-02,津巴布韦,95,10129,8643,277
12-02,马耳他,102,9975,7748,141
12-02,海地,2,9296,8023,233
12-02,加蓬,23,9214,9066,60
12-02,毛里塔尼亚,109,8710,7764,177
12-02,古巴,97,8381,7658,136
12-02,叙利亚,86,7973,3624,422
12-02,巴哈马,2,7543,5934,163
12-02,安道尔,45,6790,5940,76
12-02,特立尼达和多巴哥,16,6685,5807,120
12-02,斯威士兰,23,6442,6017,122
12-02,马拉维,3,6028,5465,185
12-02,乌拉圭,167,6024,4483,78
12-02,卢旺达,14,5948,5544,49
12-02,伯利兹,111,5854,3151,148
12-02,尼加拉瓜,54,5838,4225,161
12-02,刚果（布）,0,5774,4988,94
12-02,吉布提,1,5680,5587,61
12-02,圭亚那,17,5423,4436,151
12-02,冰岛,21,5413,5187,27
12-02,苏里南,7,5319,5197,117
12-02,赤道几内亚,3,5156,5009,85
12-02,中非共和国,5,4918,1924,63
12-02,马里,52,4762,3241,160
12-02,索马里,0,4451,3417,113
12-02,泰国,10,4008,3811,60
12-02,冈比亚,1,3743,3607,123
12-02,贝宁,0,3015,2839,43
12-02,多哥,23,2997,2515,64
12-02,布基纳法索,45,2931,2644,68
12-02,几内亚比绍,19,2441,2327,44
12-02,塞拉利昂,1,2413,1838,74
12-02,也门,6,2197,1514,619
12-02,莱索托,28,2137,1278,44
12-02,新西兰,1,2060,1963,25
12-02,乍得,12,1700,1532,102
12-02,圣马力诺,38,1650,1334,46
12-02,利比里亚,0,1595,1343,83
12-02,尼日尔,38,1586,1219,75
12-02,越南,5,1351,1195,35
12-02,列支敦士登公国,16,1286,1110,16
12-02,蒙古,10,801,358,0
12-02,钻石号邮轮,0,712,659,13
12-02,布隆迪,8,689,575,1
12-02,巴布亚新几内亚,10,656,597,7
12-02,摩纳哥,8,617,559,3
12-02,科摩罗,2,613,586,7
12-02,厄立特里亚,0,577,498,0
12-02,坦桑尼亚,0,509,183,21
12-02,毛里求斯,1,505,463,10
12-02,不丹,14,410,381,0
12-02,柬埔寨,3,326,304,0
12-02,巴巴多斯,2,278,255,7
12-02,圣卢西亚,2,259,138,2
12-02,塞舌尔,10,183,162,0
12-02,文莱,1,151,145,3
12-02,安提瓜和巴布达,1,142,130,4
12-02,圣文森特和格林纳丁斯,0,85,80,0
12-02,多米尼克,0,85,63,0
12-02,斐济,0,42,33,2
12-02,格林纳达,0,41,30,0
12-02,老挝,0,39,26,0
12-02,马提尼克岛,5,37,0,1
12-02,东帝汶,0,30,30,0
12-02,梵蒂冈,0,27,15,0
12-02,圣基茨和尼维斯,0,22,19,0
12-02,所罗门群岛,0,17,5,0
12-02,马绍尔群岛,0,4,1,0
12-02,瓦努阿图,0,1,0,0
12-03,中国,133,93889,87708,4751
12-03,美国,203427,14313941,8462347,279865
12-03,印度,35551,9534964,8973373,138648
12-03,巴西,49863,6436650,5759294,174515
12-03,俄罗斯,27829,2354934,1843526,41173
12-03,法国,14064,2275520,167915,52821
12-03,西班牙,9331,1682533,196958,45784
12-03,英国,16236,1663471,3621,59796
12-03,意大利,20709,1641610,823335,57045
12-03,阿根廷,7533,1440103,1268358,39156
12-03,哥伦比亚,9297,1334089,1225635,37117
12-03,墨西哥,11251,1133613,836567,107565
12-03,德国,21135,1117953,795216,17718
12-03,波兰,14863,1028610,646560,18828
12-03,伊朗,13922,1003494,699315,49348
12-03,秘鲁,1075,963605,899213,35966
12-03,南非,4173,796472,734305,21709
12-03,乌克兰,14812,793372,400751,13394
12-03,土耳其,31923,700880,414141,14129
12-03,比利时,3040,582252,33687,16911
12-03,伊拉克,4000,558767,487863,12361
12-03,印度尼西亚,8369,557877,462553,17355
12-03,智利,1034,553898,529501,15438
12-03,荷兰,5816,546866,7070,9645
12-03,捷克,4568,533042,461599,8515
12-03,罗马尼亚,7661,492211,381001,11876
12-03,孟加拉,2316,471739,388379,6748
12-03,菲律宾,1056,435413,399325,8446
12-03,巴基斯坦,3499,406810,346951,8205
12-03,加拿大,6413,393506,314529,12342
12-03,摩洛哥,4346,364190,314237,5985
12-03,沙特阿拉伯,230,358102,347881,5930
12-03,以色列,1676,340424,325874,2890
12-03,瑞士,4455,340115,257600,5142
12-03,葡萄牙,3384,303846,223446,4645
12-03,奥地利,3969,293430,238127,3538
12-03,瑞典,6485,272643,4917,7007
12-03,尼泊尔,1343,237589,220272,1551
12-03,匈牙利,6635,231844,67033,5324
12-03,约旦,3591,227208,168429,2854
12-03,塞尔维亚,7802,199158,15913,1765
12-03,厄瓜多尔,1203,194876,169804,13562
12-03,哈萨克斯坦,777,176342,148732,2436
12-03,阿联酋,1317,172751,157035,585
12-03,巴拿马,2028,169339,146576,3114
12-03,日本,2516,155919,129085,2174
12-03,保加利亚,3138,151913,55206,4347
12-03,格鲁吉亚,4260,147636,124568,1387
12-03,多米尼加,895,145197,115611,2334
12-03,玻利维亚,184,144994,123673,8972
12-03,科威特,314,143574,138674,884
12-03,白俄罗斯,1701,141609,118924,1181
12-03,哥斯达黎加,1168,141340,88226,1739
12-03,卡塔尔,221,139477,136741,239
12-03,克罗地亚,4534,139415,113509,1964
12-03,亚美尼亚,1277,138508,113228,2254
12-03,阿塞拜疆,4189,133733,81234,1510
12-03,黎巴嫩,1842,131297,83034,1055
12-03,阿曼,184,124329,115866,1435
12-03,危地马拉,1398,123460,112181,4191
12-03,埃及,421,116724,102949,6694
12-03,斯洛伐克,1982,111208,74273,930
12-03,埃塞俄比亚,430,110984,76067,1715
12-03,摩尔多瓦,1717,110580,96711,2343
12-03,希腊,2185,109655,23074,2606
12-03,洪都拉斯,891,109144,48877,2930
12-03,委内瑞拉,446,103067,98030,905
12-03,突尼斯,1208,99280,73607,3359
12-03,缅甸,1411,93600,73748,2028
12-03,巴勒斯坦,2516,92708,68250,780
12-03,波黑,1161,91539,56050,2812
12-03,巴林,133,87270,85463,341
12-03,丹麦,1605,85661,67934,858
12-03,肯尼亚,961,85130,56464,1484
12-03,阿尔及利亚,932,85084,54990,2464
12-03,利比亚,762,84849,55304,1212
12-03,巴拉圭,1003,84482,59465,1783
12-03,斯洛文尼亚,1775,81338,59469,1592
12-03,吉尔吉斯斯坦,420,73933,65589,1281
12-03,乌兹别克斯坦,96,73431,70712,611
12-03,爱尔兰,268,73066,23364,2074
12-03,马来西亚,1075,69095,57917,376
12-03,尼日利亚,122,67960,63839,1177
12-03,北马其顿,945,63890,40977,1825
12-03,立陶宛,0,62515,15077,519
12-03,新加坡,9,58239,58144,29
12-03,加纳,0,51667,50547,323
12-03,阿富汗,263,46718,37218,1841
12-03,阿尔巴尼亚,705,39719,19912,839
12-03,萨尔瓦多,0,39130,35839,1134
12-03,挪威,378,36969,17998,353
12-03,黑山,502,36351,25409,510
12-03,卢森堡,673,35802,26497,334
12-03,韩国,540,35703,28352,529
12-03,澳大利亚,16,27939,25618,908
12-03,芬兰,540,26422,18100,408
12-03,斯里兰卡,878,25760,19032,124
12-03,喀麦隆,42,24487,22177,441
12-03,乌干达,374,21409,9044,206
12-03,科特迪瓦,27,21361,21010,132
12-03,拉脱维亚,930,19307,1848,235
12-03,苏丹,209,18254,10493,1265
12-03,赞比亚,30,17730,17102,357
12-03,马达加斯加,0,17341,16657,251
12-03,塞内加尔,44,16217,15697,335
12-03,莫桑比克,96,15866,14014,132
12-03,安哥拉,68,15319,8139,351
12-03,纳米比亚,61,14477,13697,151
12-03,爱沙尼亚,450,13469,8182,123
12-03,几内亚,24,13167,12204,76
12-03,马尔代夫,21,13070,12001,47
12-03,刚果（金）,128,12987,11694,336
12-03,塔吉克斯坦,38,12269,11677,87
12-03,塞浦路斯,292,11175,2057,52
12-03,佛得角,51,10867,10422,106
12-03,牙买加,101,10864,6500,258
12-03,博茨瓦纳,0,10742,7912,34
12-03,马耳他,96,10197,8015,148
12-03,津巴布韦,95,10129,8643,277
12-03,海地,17,9313,8091,233
12-03,加蓬,25,9239,9089,60
12-03,毛里塔尼亚,153,8863,7780,179
12-03,古巴,75,8456,7714,136
12-03,叙利亚,86,8059,3689,426
12-03,巴哈马,2,7543,5934,163
12-03,安道尔,52,6842,5988,76
12-03,特立尼达和多巴哥,19,6704,5843,121
12-03,斯威士兰,13,6455,6032,122
12-03,乌拉圭,201,6225,4584,80
12-03,马拉维,12,6040,5471,185
12-03,卢旺达,46,5994,5575,50
12-03,伯利兹,0,5854,3151,148
12-03,尼加拉瓜,54,5838,4225,161
12-03,刚果（布）,0,5774,4988,94
12-03,吉布提,2,5682,5587,61
12-03,圭亚那,26,5449,4530,151
12-03,冰岛,35,5448,5216,27
12-03,苏里南,1,5320,5200,117
12-03,赤道几内亚,3,5156,5009,85
12-03,中非共和国,5,4918,1924,63
12-03,马里,75,4837,3263,161
12-03,索马里,74,4525,3480,121
12-03,泰国,13,4039,3832,60
12-03,冈比亚,22,3765,3609,123
12-03,贝宁,40,3055,2839,44
12-03,多哥,17,3014,2543,65
12-03,布基纳法索,79,3010,2667,68
12-03,几内亚比绍,0,2441,2327,44
12-03,塞拉利昂,3,2416,1838,74
12-03,也门,20,2217,1518,621
12-03,莱索托,8,2145,1278,44
12-03,新西兰,9,2069,1974,25
12-03,圣马力诺,64,1714,1356,46
12-03,乍得,5,1705,1539,102
12-03,尼日尔,54,1640,1227,76
12-03,利比里亚,0,1595,1343,83
12-03,越南,3,1361,1209,35
12-03,列支敦士登公国,21,1339,1169,17
12-03,蒙古,7,819,365,0
12-03,钻石号邮轮,0,712,659,13
12-03,布隆迪,0,689,575,1
12-03,巴布亚新几内亚,13,669,597,7
12-03,摩纳哥,4,621,563,3
12-03,科摩罗,2,613,586,7
12-03,厄立特里亚,0,577,498,0
12-03,坦桑尼亚,0,509,183,21
12-03,毛里求斯,3,508,465,10
12-03,不丹,1,415,386,0
12-03,柬埔寨,2,331,304,0
12-03,巴巴多斯,1,279,255,7
12-03,圣卢西亚,2,261,141,2
12-03,塞舌尔,0,183,162,0
12-03,文莱,0,151,145,3
12-03,安提瓜和巴布达,2,144,133,4
12-03,多米尼克,0,85,63,0
12-03,圣文森特和格林纳丁斯,0,85,80,0
12-03,斐济,0,42,33,2
12-03,格林纳达,0,41,30,0
12-03,老挝,0,39,26,0
12-03,马提尼克岛,5,37,0,1
12-03,东帝汶,1,31,30,0
12-03,梵蒂冈,0,27,15,0
12-03,圣基茨和尼维斯,0,22,19,0
12-03,所罗门群岛,0,17,5,0
12-03,马绍尔群岛,0,4,1,0
12-03,瓦努阿图,0,1,0,0
